name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,night_range
"2 bed 2 bath, BTS, Supermarkets, Monthly",Sibyl,Vadhana,13.7104,100.60171,Entire home/apt,2355,30,19,2020-01-04,0.17,1,356,0,Week 4
"Private, relaxed with amenities",Nicky,Bang Kho laen,13.69949,100.52725,Entire home/apt,980,2,18,2022-11-26,0.18,6,75,1,Week 1
S1 hostel (Dorm) Sathorn Bangkok,S1,Sathon,13.72157,100.54509,Shared room,330,1,82,2019-12-09,0.83,3,358,0,Week 1
3 minutes walk to Phrom Phong BTS,Amporn,Vadhana,13.73675,100.57191,Entire home/apt,3740,7,18,2022-09-14,0.15,1,44,1,Week 1
1 BDM CONDO SAPHAN KWAI/ARI walk to JJ/BTS/MRT,Chris And Lek,Phaya Thai,13.79128,100.54935,Entire home/apt,1000,5,29,2022-09-01,0.27,1,145,4,Week 1
เฮ้าส์โหมด House Mode,Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800,1,0,,0.0,1,365,0,Week 1
❂100% Private&Central Light EnSuite,Evan,Sathon,13.72062,100.54707,Entire home/apt,800,1,325,2020-03-14,2.67,37,358,0,Week 1
BKK City Fab Luxx Studio free wifi @1194,Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,127,2022-12-14,1.0,41,365,5,Week 1
"6. Bangkok nice, cosy Apartment 201",Wimonpak,Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,48,2022-11-13,0.38,41,346,3,Week 1
STUDIO-WIFI-RAIN SHOWER-SATHORN,Marvin,Sathon,13.71922,100.5255,Private room,1736,1,14,2017-02-23,0.12,3,356,0,Week 1
Luxury Riverview Teakwood Apartment-Great Views :),Maam & Hermann,Yan na wa,13.67317,100.54406,Hotel room,1558,2,120,2020-02-28,0.93,1,361,0,Week 1
1 Bed Pool Access Onnut BTS,Nisa,Suanluang,13.71119,100.63334,Entire home/apt,970,21,1,2013-07-01,0.01,2,272,0,Week 3
River Side Luxury View,Jahidul,Yan na wa,13.70497,100.55134,Private room,2500,1,0,,0.0,1,364,0,Week 1
BKK Center Fab studio1150 free wifi,Wimonpak,Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,60,2022-10-30,0.47,41,162,1,Week 1
Loft by the Church w kitchen/wifi near Sathon,Wimonpak,Bang Kho laen,13.70218,100.52254,Entire home/apt,670,2,38,2018-03-31,0.31,41,347,0,Week 1
9. Bangkok Mini Stylish Studio 205,Wimonpak,Bang Kho laen,13.70039,100.52806,Entire home/apt,720,1,40,2022-12-12,0.4,41,359,3,Week 1
"Beautiful Apt @ Ratchayothin BTS, Free Wifi",Nokina,Chatu Chak,13.82841,100.57103,Entire home/apt,1004,2,24,2018-07-22,0.19,2,0,0,Week 1
New and Modern Spacious Apartment,Preeda,Phra Khanong,13.6937,100.59897,Entire home/apt,1385,3,0,,0.0,1,364,0,Week 1
Hip Studio ♥ Of BKK+River+BTS+WIFI,Bee,Sathon,13.71278,100.5156,Entire home/apt,811,2,404,2022-12-15,3.67,7,304,19,Week 1
Condo QUATTRO @Thonglor Near BTS,Arika,Vadhana,13.72873,100.58039,Entire home/apt,2000,7,6,2022-12-16,0.05,3,62,1,Week 1
Big quiet Studio for weekly monthly long term Stay,Lily Duangdao,Sathon,13.720317,100.54586,Private room,1629,4,4,2022-10-23,0.7,7,82,4,Week 1
BH : Double Room - Near BTS,Kriengkrai,Sathon,13.71659,100.51588,Private room,835,1,0,,0.0,7,365,0,Week 1
Suite with Balcony,Kriengkrai,Sathon,13.71655,100.51384,Private room,926,1,1,2019-04-13,0.02,7,365,0,Week 1
Room + Shared Shower Room near BTS,Kriengkrai,Sathon,13.71496,100.51406,Private room,866,1,0,,0.0,7,365,0,Week 1
BANGKOK HUB Studio Room+Shower Room,Kriengkrai,Sathon,13.718,100.51573,Private room,650,1,0,,0.0,7,365,0,Week 1
BANGKOK HUB : Standard Double Room,Kriengkrai,Sathon,13.71662,100.51572,Shared room,866,1,2,2019-01-01,0.03,7,365,0,Week 1
Great location on a charming loft,Andrea,Bang Rak,13.72687,100.52326,Entire home/apt,5887,30,8,2019-01-22,0.07,1,358,0,Week 4
phiyapa,Psirivedin,Don Mueang,13.9277,100.58757,Private room,1250,1,0,,0.0,1,365,0,Week 1
Spacious 2 Bedroom Apartment near BTS-non smoking,Suchada,Phaya Thai,13.7736,100.54079,Entire home/apt,2571,3,109,2022-12-18,1.15,4,342,56,Week 1
Stunning 24th Fl Terrace Penthouse!,Mike,Chatu Chak,13.80994,100.5651,Entire home/apt,4156,30,0,,0.0,1,348,0,Week 4
CityCenter BTS Ari AREE FastWifi+Kitchen+SwimPool,Tayawat,Phaya Thai,13.77776,100.54353,Entire home/apt,3847,9,34,2021-05-17,0.32,1,167,0,Week 2
Deluxe Condo at perfect location 2-0,Gerd,Vadhana,13.73757,100.55996,Entire home/apt,1485,3,206,2022-12-14,1.83,3,130,20,Week 1
Wow! Entire 3 story house in Bangkok,VeeZa,Dusit,13.77537,100.52383,Entire home/apt,2814,1,271,2022-12-20,2.97,1,154,2,Week 1
✴✴Colorful Room with Soaring Views in Center BKK✴✴,Evan,Sathon,13.72062,100.54707,Entire home/apt,707,1,93,2022-11-25,0.95,37,346,11,Week 1
Brand New room near Airport Railway,Urcha,Bang Kapi,13.75056,100.60844,Private room,1316,5,1,2013-12-03,0.01,1,364,0,Week 1
State tower riverview 42th freewifi,Anchana,Bang Rak,13.72225,100.51642,Private room,2061,30,11,2015-09-02,0.1,4,365,0,Week 4
1Br riverview 42th State tower wifi,Anchana,Bang Rak,13.72221,100.51568,Private room,2061,30,3,2015-09-01,0.03,4,365,0,Week 4
☀ ☼Sky bedroom with a smooth life view☼☀,Evan,Sathon,13.72061,100.54706,Entire home/apt,750,1,426,2022-12-08,3.39,37,344,10,Week 1
Transit DMK & Not far from Impact,NiNew,Lak Si,13.88974,100.56257,Private room,800,1,27,2016-04-08,0.23,4,353,0,Week 1
✬Sweet Dreams in the Center of Bangkok@Sky House✬,Evan,Sathon,13.72062,100.54709,Entire home/apt,693,1,224,2022-12-13,1.84,37,349,4,Week 1
F/F Studio APT For Rent. ARI BTS.,Taweewat  (Ken),Phaya Thai,13.78148,100.54868,Private room,1088,2,1,2019-01-04,0.02,2,365,0,Week 1
Big Jacuzzi+BTS/BRT+wifi 100mbps,Kinifrog,Thon buri,13.71699,100.4783,Entire home/apt,2000,7,0,,0.0,19,354,0,Week 1
1 BR Near BTS WIFI/POOL/FITNESS (B),Feb,Bang Na,13.67926,100.61655,Entire home/apt,808,29,147,2022-11-30,1.18,6,317,2,Week 4
Studio ๏ Affordable comfort,Sarasinee,Phaya Thai,13.78887,100.56009,Entire home/apt,500,30,4,2012-12-15,0.03,1,365,0,Week 4
Cosy 1 bed room service apartment!,Avinash,Din Daeng,13.78777,100.56551,Entire home/apt,866,1,6,2015-10-18,0.05,1,365,0,Week 1
Hip Luxury Apt in Best Location,Andrew,Parthum Wan,13.74088,100.54102,Entire home/apt,3097,12,120,2022-12-04,1.03,1,54,1,Week 2
Metro view of studio near BTS Ari,Tam,Phaya Thai,13.78686,100.54951,Entire home/apt,850,30,14,2020-01-10,0.13,1,362,0,Week 4
"Top of ""Old Siam""- 17th floor views",Melissa And Kurt,Phra Nakhon,13.76473,100.49718,Entire home/apt,935,30,34,2022-06-19,0.31,1,255,1,Week 4
"Bangkok View, Luxurious 1 bedroom,Sathorn.",Chok,Sathon,13.70644,100.52544,Entire home/apt,1212,21,0,,0.0,2,365,0,Week 3
"Private Room@Chatuchak,BTS,JJ market,DMK airport",Apipu,Phaya Thai,13.79221,100.54631,Private room,399,1,33,2020-03-15,0.78,1,0,0,Week 1
1BR River view 19th State tower,Anchana,Bang Rak,13.72007,100.51711,Private room,1300,30,3,2015-01-01,0.03,4,365,0,Week 4
